ID;CourrielCegep;nom;Prenom;Code Permanet;NumTel;CourrielPersonnel
1;tremblay.Ernie@cegepJonquiere.ca;tremblay;Ernie;1032694;(418) 695-1234;tremblay.Ernie@hotmail.com
2;bouchard.Sanford@cegepJonquiere.ca;bouchard;Sanford;1032695;(418) 695-1235;bouchard.Sanford@hotmail.com
3;poirier.Les@cegepJonquiere.ca;poirier;Les;1032696;(418) 695-1236;poirier.Les@hotmail.com
4;sioud.Leandro@cegepJonquiere.ca;sioud;Leandro;1032697;(418) 695-1237;sioud.Leandro@hotmail.com
5;tremblay.Nelson@cegepJonquiere.ca;tremblay;Nelson;1032698;(418) 695-1238;tremblay.Nelson@hotmail.com
6;bouchard.Harvey@cegepJonquiere.ca;bouchard;Harvey;1032699;(418) 695-1239;bouchard.Harvey@hotmail.com
7;poirier.Malcolm@cegepJonquiere.ca;poirier;Malcolm;1032700;(418) 695-1240;poirier.Malcolm@hotmail.com
8;sioud.Colton@cegepJonquiere.ca;sioud;Colton;1032701;(418) 695-1241;sioud.Colton@hotmail.com
9;tremblay.Neal@cegepJonquiere.ca;tremblay;Neal;1032702;(418) 695-1242;tremblay.Neal@hotmail.com
10;bouchard.Allen@cegepJonquiere.ca;bouchard;Allen;1032703;(418) 695-1243;bouchard.Allen@hotmail.com
11;poirier.Dylan@cegepJonquiere.ca;poirier;Dylan;1032704;(418) 695-1244;poirier.Dylan@hotmail.com
12;sioud.Weston@cegepJonquiere.ca;sioud;Weston;1032705;(418) 695-1245;sioud.Weston@hotmail.com
13;tremblay.Doug@cegepJonquiere.ca;tremblay;Doug;1032706;(418) 695-1246;tremblay.Doug@hotmail.com
14;bouchard.Shawn@cegepJonquiere.ca;bouchard;Shawn;1032707;(418) 695-1247;bouchard.Shawn@hotmail.com
15;poirier.Dominick@cegepJonquiere.ca;poirier;Dominick;1032708;(418) 695-1248;poirier.Dominick@hotmail.com
16;sioud.Mohammad@cegepJonquiere.ca;sioud;Mohammad;1032709;(418) 695-1249;sioud.Mohammad@hotmail.com
17;tremblay.Donte@cegepJonquiere.ca;tremblay;Donte;1032710;(418) 695-1250;tremblay.Donte@hotmail.com
18;bouchard.Brian@cegepJonquiere.ca;bouchard;Brian;1032711;(418) 695-1251;bouchard.Brian@hotmail.com
19;poirier.Glen@cegepJonquiere.ca;poirier;Glen;1032712;(418) 695-1252;poirier.Glen@hotmail.com
20;sioud.Galen@cegepJonquiere.ca;sioud;Galen;1032713;(418) 695-1253;sioud.Galen@hotmail.com
21;tremblay.Scot@cegepJonquiere.ca;tremblay;Scot;1032714;(418) 695-1254;tremblay.Scot@hotmail.com
22;bouchard.Gerry@cegepJonquiere.ca;bouchard;Gerry;1032715;(418) 695-1255;bouchard.Gerry@hotmail.com
23;poirier.Claudio@cegepJonquiere.ca;poirier;Claudio;1032716;(418) 695-1256;poirier.Claudio@hotmail.com
24;sioud.Lyman@cegepJonquiere.ca;sioud;Lyman;1032717;(418) 695-1257;sioud.Lyman@hotmail.com
25;tremblay.Emile@cegepJonquiere.ca;tremblay;Emile;1032718;(418) 695-1258;tremblay.Emile@hotmail.com
26;bouchard.Monte@cegepJonquiere.ca;bouchard;Monte;1032719;(418) 695-1259;bouchard.Monte@hotmail.com
27;poirier.Louie@cegepJonquiere.ca;poirier;Louie;1032720;(418) 695-1260;poirier.Louie@hotmail.com
28;sioud.Preston@cegepJonquiere.ca;sioud;Preston;1032721;(418) 695-1261;sioud.Preston@hotmail.com
29;tremblay.Coleman@cegepJonquiere.ca;tremblay;Coleman;1032722;(418) 695-1262;tremblay.Coleman@hotmail.com
30;bouchard.Marcelino@cegepJonquiere.ca;bouchard;Marcelino;1032723;(418) 695-1263;bouchard.Marcelino@hotmail.com
31;poirier.Elden@cegepJonquiere.ca;poirier;Elden;1032724;(418) 695-1264;poirier.Elden@hotmail.com
32;sioud.Randell@cegepJonquiere.ca;sioud;Randell;1032725;(418) 695-1265;sioud.Randell@hotmail.com
33;tremblay.Dane@cegepJonquiere.ca;tremblay;Dane;1032726;(418) 695-1266;tremblay.Dane@hotmail.com
34;bouchard.Clinton@cegepJonquiere.ca;bouchard;Clinton;1032727;(418) 695-1267;bouchard.Clinton@hotmail.com
35;poirier.Hubert@cegepJonquiere.ca;poirier;Hubert;1032728;(418) 695-1268;poirier.Hubert@hotmail.com
36;sioud.Jean@cegepJonquiere.ca;sioud;Jean;1032729;(418) 695-1269;sioud.Jean@hotmail.com
37;tremblay.Hong@cegepJonquiere.ca;tremblay;Hong;1032730;(418) 695-1270;tremblay.Hong@hotmail.com
38;bouchard.Jame@cegepJonquiere.ca;bouchard;Jame;1032731;(418) 695-1271;bouchard.Jame@hotmail.com
39;poirier.Hugo@cegepJonquiere.ca;poirier;Hugo;1032732;(418) 695-1272;poirier.Hugo@hotmail.com
40;sioud.Vito@cegepJonquiere.ca;sioud;Vito;1032733;(418) 695-1273;sioud.Vito@hotmail.com
41;tremblay.Eldridge@cegepJonquiere.ca;tremblay;Eldridge;1032734;(418) 695-1274;tremblay.Eldridge@hotmail.com
42;bouchard.Agustin@cegepJonquiere.ca;bouchard;Agustin;1032735;(418) 695-1275;bouchard.Agustin@hotmail.com
43;poirier.Sonny@cegepJonquiere.ca;poirier;Sonny;1032736;(418) 695-1276;poirier.Sonny@hotmail.com
44;sioud.Ward@cegepJonquiere.ca;sioud;Ward;1032737;(418) 695-1277;sioud.Ward@hotmail.com
45;tremblay.Grant@cegepJonquiere.ca;tremblay;Grant;1032738;(418) 695-1278;tremblay.Grant@hotmail.com
46;bouchard.Dana@cegepJonquiere.ca;bouchard;Dana;1032739;(418) 695-1279;bouchard.Dana@hotmail.com
47;poirier.Larry@cegepJonquiere.ca;poirier;Larry;1032740;(418) 695-1280;poirier.Larry@hotmail.com
48;sioud.Stefan@cegepJonquiere.ca;sioud;Stefan;1032741;(418) 695-1281;sioud.Stefan@hotmail.com
49;tremblay.Marcel@cegepJonquiere.ca;tremblay;Marcel;1032742;(418) 695-1282;tremblay.Marcel@hotmail.com
50;bouchard.Manual@cegepJonquiere.ca;bouchard;Manual;1032743;(418) 695-1283;bouchard.Manual@hotmail.com
